Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sas.json	14213	-	0	0	0	0	0	0	5	62	0	0	0	0	0	0	0	1	0	0	116	162	0	0	1	5	0	1
fsh-generated/resources/Bundle-ExampleBundleCPTS.json	6454	5	1	0	1	0	27	0	0	518	0	0	0	0	0	0	0	0	0	0	31	55	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS.json	302	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaCPTS.json	633	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner.json	570	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur.json	1265	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule.json	337	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cptsslot-sp-servicetype.json	611	2	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	1	0	0
fsh-generated/resources/Slot-ExampleSlotCPTS.json	997	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	55	23	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BundleAgregateur.json	3087	2	0	0	0	0	0	2702	1	97	0	0	1	0	0	0	0	3	0	0	786	3674	0	0	0	26	0	3
fsh-generated/resources/StructureDefinition-FrAppointmentSAS.json	5163	5	0	0	0	0	0	103	0	104	0	0	1	0	0	0	0	1	0	0	568	1067	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-FrLocationAgregateur.json	1481	2	1	0	0	0	0	41	0	29	0	0	0	0	0	0	0	0	0	0	302	703	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-FrPractitionerAgregateur.json	1807	4	0	0	0	0	0	79	0	67	0	0	0	0	0	0	0	2	0	0	790	1387	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-FrPractitionerRoleExerciceAgregateur.json	2523	3	0	0	0	0	0	36	0	82	0	0	0	0	0	0	0	1	0	0	313	461	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-FrScheduleAgregateur.json	1459	2	0	0	0	0	0	25	0	15	0	0	0	0	0	0	0	0	0	0	149	241	0	0	0	5	0	1
