Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sas.json	29904	-	0	0	0	0	0	0	7	51	0	0	0	0	0	0	0	1	0	0	189	177	0	0	1	8	0	1
fsh-generated/resources/Appointment-1.json	1305	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	0	0	0	0	0	0
fsh-generated/resources/Appointment-2.json	1308	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleBundleAgregateurSOS.json	13480	9	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	1	0	0	33	49	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleBundleCPTS.json	7431	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	26	42	0	0	0	0	0	1
fsh-generated/resources/Bundle-ExampleBundlePSIndiv.json	17157	8	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	35	62	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-CPTS.json	3363	6	0	0	1	0	0	1	0	49	0	0	0	0	0	0	0	0	0	0	40	56	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-SOS.json	4383	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	45	24	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-psindiv.json	3254	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	38	22	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-CPTS.json	3323	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	40	25	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-PsIndiv.json	3238	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	36	23	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-RDVSOS.json	1944	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	20	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-RDVpsindiv.json	1944	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	18	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-SOS.json	4363	6	1	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	52	22	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireStructure.json	1837	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS1.json	304	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS2.json	304	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0
fsh-generated/resources/Location-1111111111.json	1071	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	0	0	0
