Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sas.json	14199	-	0	0	0	0	0	0	5	49	0	0	0	0	0	0	0	1	0	0	138	154	0	0	0	6	0	2
fsh-generated/resources/Bundle-ExampleBundleCPTS.json	6454	14	1	0	0	1	25	0	0	416	0	0	0	0	0	0	0	0	0	0	52	77	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS.json	302	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	45	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaCPTS.json	633	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner.json	570	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur.json	1265	12	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	30	47	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule.json	337	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	47	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cptsslot-sp-servicetype.json	611	11	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	33	36	0	0	0	0	0	1
fsh-generated/resources/Slot-ExampleSlotCPTS.json	997	12	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	49	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BundleAgregateur.json	3087	12	0	0	0	0	0	2267	0	65	0	0	1	0	0	0	0	3	0	0	725	3651	0	0	0	14	1	4
fsh-generated/resources/StructureDefinition-FrAppointmentSAS.json	5163	14	0	0	0	0	0	105	0	90	0	0	0	0	0	0	0	1	0	0	583	849	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-FrLocationAgregateur.json	1481	11	0	0	0	0	0	34	0	62	0	0	0	0	0	0	0	1	0	0	332	482	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-FrPractitionerAgregateur.json	1807	12	0	0	0	0	0	61	0	58	0	0	1	0	0	0	0	3	0	0	815	944	0	0	0	16	0	2
