Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sas.json	29058	-	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	1	0	0	203	196	0	0	1	7	0	1
fsh-generated/resources/Appointment-1.json	1305	6	0	0	0	0	0	0	1	394	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Appointment-2.json	1308	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleBundleAgregateurSOS.json	13480	9	0	0	0	0	18	0	2	134	0	0	0	0	0	0	0	0	0	0	71	66	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleBundleCPTS.json	7402	7	0	0	0	0	8	0	2	94	0	0	0	0	0	0	0	0	0	0	38	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleBundlePSIndiv.json	17157	9	0	0	0	0	4	0	2	14	0	0	0	0	0	0	0	1	0	0	85	75	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-CPTS.json	3363	5	0	0	1	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	53	41	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-SOS.json	4383	5	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	52	22	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-Consommateur-psindiv.json	3254	5	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	41	21	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-CPTS.json	3323	5	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	38	25	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-PsIndiv.json	3238	5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	36	22	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-RDVSOS.json	1944	5	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	27	19	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-RDVpsindiv.json	1944	4	1	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	24	18	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireAgenda-SOS.json	4363	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	59	25	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-SAS-GestionnaireStructure.json	1837	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	17	0	0	0	1	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS1.json	304	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-ExampleHealthcareServiceCPTS2.json	304	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Location-1111111111.json	1071	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Location-2222222222.json	1032	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Location-3333333333.json	1011	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaCPTS1.json	634	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaCPTS2.json	641	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaSOS1.json	558	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Organization-ExampleOrgaSOS2.json	574	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner.json	570	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner2.json	576	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitioner3.json	575	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ExamplePractitionerRegul.json	726	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur.json	1262	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur2.json	1393	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur3.json	1394	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-ExamplePractitionerRoleAgregateur4.json	1480	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule.json	337	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule1.json	340	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule2.json	340	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleSchedule3.json	340	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleScheduleSOS1.json	274	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleScheduleSOS2.json	274	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Schedule-ExampleScheduleSOS3.json	274	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-cptsslot-sp-servicetype.json	611	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-slot-sp-start.json	598	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0
fsh-generated/resources/Slot-ExampleSlotCPTS1.json	1762	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotCPTS2.json	2219	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotPSIndiv1.json	1501	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotPSIndiv2.json	1096	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotPSIndiv3.json	1350	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotPSIndiv4.json	1549	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotSOS1.json	1219	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotSOS2.json	927	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotSOS3.json	926	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Slot-ExampleSlotSOS4.json	927	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BundleAgregateur.json	3088	5	0	0	0	0	0	302	0	79	0	0	1	0	0	0	0	2	0	0	722	3133	0	0	0	19	0	3
fsh-generated/resources/StructureDefinition-FrAppointmentSAS.json	5116	5	0	0	0	0	0	95	0	95	0	0	0	0	0	0	0	1	0	0	627	819	0	0	0	16	1	0
fsh-generated/resources/StructureDefinition-FrLocationAgregateur.json	1482	4	0	0	0	0	0	29	0	32	0	0	1	0	0	0	0	1	0	0	335	464	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-FrPractitionerAgregateur.json	1808	5	0	0	0	0	0	119	0	64	0	0	0	0	0	0	0	3	0	0	802	1152	0	0	0	26	0	1
fsh-generated/resources/StructureDefinition-FrPractitionerRegul.json	3069	4	0	0	0	0	0	110	0	87	0	0	0	0	0	0	0	4	0	0	971	1554	0	0	0	27	0	2
fsh-generated/resources/StructureDefinition-FrPractitionerRoleExerciceAgregateur.json	2524	5	1	0	0	0	0	20	0	28	0	0	0	0	0	0	0	1	0	0	307	413	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-FrScheduleAgregateur.json	1460	4	0	0	0	0	0	15	0	16	0	0	1	0	0	0	0	0	0	0	143	256	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-FrSlotAgregateur.json	4372	5	0	0	0	0	0	18	0	29	0	0	0	0	0	0	0	1	0	0	269	283	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-sas-cpts-bundle-aggregator.json	5094	4	0	0	0	0	0	144	0	64	0	0	0	0	0	0	0	3	0	0	923	1075	0	0	0	47	0	2
fsh-generated/resources/StructureDefinition-sas-cpts-healthcareservice-aggregator.json	1181	5	0	0	0	0	0	22	0	22	0	0	0	0	0	0	0	1	0	0	252	403	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-sas-cpts-organization-aggregator.json	1911	4	0	0	0	0	0	24	0	34	0	0	0	0	0	0	0	1	0	0	381	392	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-sas-cpts-slot-aggregator.json	4654	5	0	0	0	0	0	19	0	38	0	0	0	0	0	0	0	2	0	0	357	275	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-sas-cpts-slot-servicetype-aggregator.json	1669	4	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	50	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-sas-sos-appointment.json	4119	5	1	0	0	0	0	62	0	32	0	0	1	0	0	0	0	1	0	0	431	315	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-sas-sos-bundle-aggregator.json	3800	4	0	0	0	0	0	134	0	47	0	0	0	0	0	0	0	2	0	0	690	685	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-sas-sos-location-aggregator.json	2161	5	0	0	0	0	0	22	0	28	0	0	0	0	0	0	0	2	0	0	352	312	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-sas-sos-organization-aggregator.json	1790	4	0	0	0	0	0	23	0	89	0	0	0	0	0	0	0	1	0	0	373	521	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-sas-sos-schedule-aggregator.json	1112	4	0	0	0	0	0	15	0	16	0	0	0	0	0	0	0	1	0	0	168	250	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-sas-sos-slot-aggregator.json	1973	4	0	0	0	0	0	28	0	19	0	0	0	0	0	0	0	0	0	0	220	295	0	0	0	6	0	0
fsh-generated/resources/ValueSet-sas-cpts-valueset-typecreneau.json	1016	3	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	15	2641	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sas-sos-valueset-participant-status.json	754	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	42	0	0	0	1	0	0
fsh-generated/resources/ValueSet-sas-sos-valueset-typecreneau.json	770	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	42	0	1	0	0	0	0
fsh-generated/resources/ValueSet-sas-valueset-appointmentreason.json	707	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sas-valueset-categorieetablissement.json	675	4	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	10	268	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sas-valueset-typeconsultation.json	761	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	45	0	0	0	0	0	0
fsh-generated/resources/ValueSet-sas-valueset-typeidentifiant.json	685	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	1	0	0
